202.5 0.0 247.5 0.0
202.5 22.5 247.5 22.5
202.5 22.5 247.5 45.0
202.5 22.5 247.5 67.5
202.5 22.5 225.0 67.5
202.5 22.5 202.5 67.5
180.0 22.5 180.0 67.5
157.5 22.5 157.5 67.5
135.0 22.5 157.5 67.5
112.5 22.5 157.5 67.5
112.5 45.0 157.5 67.5
112.5 67.5 157.5 67.5
112.5 90.0 157.5 90.0
112.5 112.5 157.5 112.5
112.5 135.0 157.5 112.5
112.5 157.5 157.5 112.5
135.0 157.5 157.5 112.5
157.5 157.5 157.5 112.5
180.0 157.5 180.0 112.5
202.5 157.5 202.5 112.5
202.5 157.5 225.0 112.5
202.5 157.5 247.5 112.5
202.5 157.5 247.5 135.0
202.5 157.5 247.5 157.5
202.5 180.0 247.5 180.0
202.5 180.0 247.5 202.5
202.5 180.0 247.5 225.0
202.5 180.0 225.0 225.0
202.5 180.0 202.5 225.0
180.0 180.0 180.0 225.0
157.5 180.0 157.5 225.0
135.0 180.0 135.0 225.0
112.5 180.0 112.5 225.0
90.0 180.0 90.0 225.0
90.0 180.0 67.5 225.0
90.0 180.0 45.0 225.0
90.0 180.0 45.0 202.5
90.0 180.0 45.0 180.0
90.0 157.5 45.0 157.5
90.0 135.0 45.0 135.0
90.0 112.5 45.0 112.5
90.0 90.0 45.0 90.0
90.0 67.5 45.0 67.5
90.0 45.0 45.0 45.0
90.0 22.5 45.0 45.0
90.0 0.0 45.0 45.0
67.5 0.0 45.0 45.0
45.0 0.0 45.0 45.0
22.5 0.0 22.5 45.0
0.0 0.0 22.5 45.0
-22.5 0.0 22.5 45.0
-22.5 22.5 22.5 45.0
-22.5 45.0 22.5 45.0
-22.5 67.5 22.5 67.5
-22.5 90.0 22.5 90.0
-22.5 112.5 22.5 112.5
-22.5 135.0 22.5 135.0
-22.5 157.5 22.5 157.5
-22.5 180.0 22.5 180.0
-22.5 180.0 22.5 202.5
-22.5 180.0 22.5 225.0
-22.5 180.0 0.0 225.0
-22.5 180.0 -22.5 225.0
-45.0 180.0 -45.0 225.0
-45.0 180.0 -67.5 225.0
-45.0 180.0 -90.0 225.0
-45.0 180.0 -90.0 202.5
-45.0 180.0 -90.0 180.0
-45.0 180.0 -90.0 180.0
-45.0 157.5 -90.0 157.5
-45.0 135.0 -90.0 135.0
-45.0 112.5 -90.0 112.5
-45.0 90.0 -90.0 90.0
-45.0 67.5 -90.0 67.5
-45.0 45.0 -90.0 45.0
-45.0 22.5 -90.0 45.0
-45.0 0.0 -90.0 45.0
-67.5 0.0 -90.0 45.0
-90.0 0.0 -90.0 45.0
-112.5 0.0 -112.5 45.0
-135.0 0.0 -112.5 45.0
-157.5 0.0 -112.5 45.0
-157.5 22.5 -112.5 45.0
-157.5 45.0 -112.5 45.0
-157.5 67.5 -112.5 67.5
-157.5 90.0 -112.5 90.0
-157.5 112.5 -112.5 112.5
-157.5 135.0 -112.5 135.0
-157.5 157.5 -112.5 157.5
-157.5 180.0 -112.5 180.0
-157.5 180.0 -112.5 202.5
-157.5 180.0 -112.5 225.0
